Playback mode: Real-time x5
Flight log started
t = 91575 ms, altitude = -0.5, az = 2.05, temperature = 18.69, battery = 12.2695, state = Ready
[Error] AltitudeNegative at t = 91575 ms
t = 91938 ms, altitude = 0.95, az = 7.31, temperature = 19.16, battery = 12.2694, state = Launch
t = 92293 ms, altitude = 4.09, az = 7.67, temperature = 19.12, battery = 12.2692, state = Ascent
t = 92648 ms, altitude = 10.45, az = 5.48, temperature = 19, battery = 12.2691, state = Ascent
t = 93011 ms, altitude = 18.46, az = -1.04, temperature = 18.91, battery = 12.269, state = Ascent
t = 93377 ms, altitude = 28.19, az = -0.3, temperature = 18.84, battery = 12.2689, state = Ascent
t = 93743 ms, altitude = 38.87, az = -0.58, temperature = 18.78, battery = 12.2688, state = Ascent
t = 94105 ms, altitude = 49.56, az = -0.51, temperature = 18.72, battery = 12.2686, state = Ascent
t = 94469 ms, altitude = 60.55, az = -0.54, temperature = 18.68, battery = 12.2685, state = Ascent
t = 94832 ms, altitude = 71.31, az = -0.38, temperature = 18.66, battery = 12.2684, state = Ascent
t = 95198 ms, altitude = 82.05, az = -0.32, temperature = 18.62, battery = 12.2683, state = Ascent
t = 95560 ms, altitude = 92.61, az = -0.24, temperature = 18.59, battery = 12.2681, state = Ascent
t = 95924 ms, altitude = 102.6, az = -0.17, temperature = 18.58, battery = 12.268, state = Ascent
t = 96287 ms, altitude = 112.16, az = -0.14, temperature = 18.56, battery = 12.2679, state = Ascent
t = 96651 ms, altitude = 121.25, az = -0.09, temperature = 18.54, battery = 12.2678, state = Ascent
t = 97014 ms, altitude = 129.69, az = -0.09, temperature = 18.53, battery = 12.2677, state = Ascent
t = 97392 ms, altitude = 137.55, az = -0.05, temperature = 18.53, battery = 12.2675, state = Ascent
t = 97757 ms, altitude = 144.71, az = -0.06, temperature = 18.51, battery = 12.2674, state = Ascent
t = 98120 ms, altitude = 151.12, az = -0.04, temperature = 18.51, battery = 12.2673, state = Ascent
